,Date,Price,Change,Max Price,Min Price,Prev Price,Transaction,Volume,Amount
0,2022-01-06,574.0,8.0,580.0,555.1,566.0,108,7993,4569280
1,2022-01-05,566.0,-13.0,595.0,555.0,579.0,146,16479,9431380
