S.N,Stock Name,Stock Symbol,Sector
111,Nepal Infrastructure Bank Limited,NIFRA,Investment
112,NRN Infrastructure and Development Limited,NRN,Investment
113,Asian Life Insurance Co. Limited,ALICL,Life Insurance
114,Gurans Life Insurance Company Ltd.,GLICL,Life Insurance
115,Jyoti Life Insurance Ltd,JLI,Life Insurance
116,Life Insurance Co. Nepal,LICN,Life Insurance
117,National Life Insurance Co. Ltd.,NLICL,Life Insurance
118,Nepal Life Insurance Co. Ltd.,NLIC,Life Insurance
119,Prabhu Life Insurance Limited,PLI,Life Insurance
120,Prime Life Insurance Company Limited,PLIC,Life Insurance
121,Reliance Life Insurance Limited,RLI,Life Insurance
122,Sanima Life Insurance Limited,SLI,Life Insurance
123,Surya Life Insurance Company Limited,SLICL,Life Insurance
124,Union Life Insurance Company Limited,ULI,Life Insurance
125,Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing
126,Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing
127,Himalayan Distillery Limited,HDL,Manufacturing And Processing
128,Nepal Lube Oil Limited,NLO,Manufacturing And Processing
129,SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing
130,Unilever Nepal Limited,UNL,Manufacturing And Processing
131,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance
132,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance
133,Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance
134,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance
135,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance
136,First Micro Finance Development Bank Ltd.,FMDBL,Microfinance
137,Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance
138,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Microfinance
139,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance
140,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance
141,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance
142,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance
143,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance
144,Jeevan Bikas laghubitta bittya sanstha ltd,JBLB,Microfinance
145,Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance
146,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance
147,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance
148,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Microfinance
149,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Microfinance
150,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Microfinance
151,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Microfinance
152,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance
153,Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance
154,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance
155,National Microfinance Bittiya Sanstha Ltd.,NMFBS,Microfinance
156,Naya Sarathi Laghubitta Bittiya Sanstha Limited,NSLB,Microfinance
157,Nerude Laghubita Bikas Bank Limited,NLBBL,Microfinance
158,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Microfinance
159,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Microfinance
160,NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance
161,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance
162,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance
163,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance
164,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance
165,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ,Microfinance
166,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance
167,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance
168,Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance
169,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance
170,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance
171,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance
