Symbol,LTP,% Change
RBCLPO,18000.0,-4.37
CORBL,770.0,-3.75
OHL,685.0,-2.7
NBBD2085,1060.0,-1.85
LBLD86,1042.0,-1.23
SIGS2,13.8,-1.08
UPPER,694.0,-0.86
SBLD2082,1070.0,-0.47
KEF,10.06,-0.4
MFLD85,1017.0,-0.2
