Symbol,LTP,% Change,High,Low,Open,Qty.,Unnamed: 7
NBL,444.0,0.45,448.0,442.0,448.0,102605,
NCCB,370.0,0.0,380.0,352.0,352.0,56400,
NEF,14.58,1.32,14.58,14.3,14.3,103386,
NFS,442.0,0.23,457.0,439.0,449.0,22098,
NGPL,480.0,-1.03,498.0,477.0,494.0,9498,
NHDL,440.0,-2.87,456.0,440.0,444.0,1530,
NHPC,335.0,-1.47,350.0,331.0,350.0,235098,
NIBLPF,14.7,-0.68,14.8,14.7,14.8,2925,
NIBSF1,14.4,-0.28,14.4,14.35,14.35,6550,
NIBSF2,10.02,-1.47,10.2,10.0,10.1,3500,
NICA,934.0,1.97,938.0,915.0,921.0,174646,
NICAD8283,1150.0,0.0,1150.0,1150.0,1150.0,25,
NICBF,13.65,0.74,13.74,13.65,13.73,125800,
NICGF,15.05,1.69,15.05,14.8,14.81,2610250,
NICL,1214.0,4.3,1226.0,1170.0,1170.0,338764,
NICLBSL,1541.0,2.26,1557.0,1510.0,1525.0,12945,
NIFRA,510.0,-0.2,518.0,509.0,515.0,81146,
NIL,1665.0,-0.18,1689.0,1660.0,1678.0,18849,
NLBBL,1570.0,3.09,1610.0,1549.0,1549.0,3839,
NLG,1317.0,-0.45,1344.0,1317.0,1344.0,9135,
NLIC,1966.0,0.56,1986.0,1962.0,1986.0,15848,
NLICL,1181.0,0.85,1192.0,1173.0,1190.0,20318,
NMB,445.0,0.45,451.0,443.0,450.0,91466,
NMB50,14.9,0.68,15.0,14.71,14.71,215000,
NMBHF1,13.12,-0.3,13.12,13.11,13.11,3877,
NMBMF,1377.0,2.23,1384.0,1350.0,1372.0,1436,
NMFBS,3550.0,1.46,3619.0,3498.0,3565.0,2281,
NRIC,1706.0,-0.7,1750.0,1688.0,1750.0,65848,
NRN,631.0,-2.02,656.0,631.0,645.0,11142,
NTC,1291.0,0.16,1353.0,1280.0,1353.0,11275,
NUBL,1619.0,1.82,1620.0,1600.0,1600.0,6467,
OHL,571.0,3.07,584.0,550.0,550.0,28250,
PCBL,472.0,0.43,480.0,470.0,475.0,49630,
PFL,588.0,-2.0,631.0,570.0,570.0,16526,
PIC,1230.0,0.82,1244.0,1220.0,1244.0,328,
PICL,836.0,0.97,844.0,828.0,828.0,2436,
PLI,768.0,0.66,770.0,764.0,770.0,5147,
PLIC,982.0,0.2,1000.0,979.0,980.0,3254,
PMHPL,287.0,-2.38,308.0,286.0,308.0,1596,
PPCL,350.0,-2.51,365.0,347.0,365.0,1145,
PRIN,976.0,-0.31,996.0,976.0,996.0,4726,
PROFL,346.0,-1.98,357.0,344.0,355.0,10359,
PRVU,463.0,1.54,466.0,456.0,461.0,144038,
PSF,10.2,-0.87,10.2,10.15,10.15,12090,
RADHI,1144.0,-2.64,1200.0,1125.0,1200.0,201508,
RBCL,21200.0,0.0,21450.0,21025.0,21220.0,102,
RBCLPO,17560.0,-0.31,17701.0,17560.0,17701.0,494,
RHPC,580.0,-2.36,595.0,573.0,595.0,31208,
RHPL,466.0,-0.21,476.0,465.0,476.0,14185,
RLFL,449.0,-2.81,471.0,442.0,471.0,39637,
RLI,685.0,0.44,692.0,680.0,682.0,5772,
RMDC,1280.0,1.67,1304.0,1265.0,1265.0,3649,
RRHP,390.0,-1.52,400.0,390.0,400.0,2849,
RSDC,859.0,1.78,890.0,830.0,830.0,3211,
RURU,934.0,-3.11,970.0,933.0,964.0,420,
SABSL,1688.0,2.86,1700.0,1641.0,1641.0,823,
SADBL,391.0,-1.01,399.0,389.0,399.0,22301,
