,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
151,AHPC,58,36,10,4770.0
152,AHPC,58,36,10,4770.0
153,AHPC,58,36,10,4770.0
154,AHPC,58,49,50,23800.0
155,AHPC,58,36,10,4770.0
156,AHPC,58,20,10,4780.0
157,AHPC,58,20,10,4780.0
158,AHPC,58,20,10,4780.0
159,AHPC,58,20,10,4770.0
160,AHPC,58,17,10,4770.0
161,AHPC,58,17,10,4770.0
162,AHPC,58,20,10,4780.0
163,AHPC,58,59,10,4750.0
164,AHPC,58,59,10,4750.0
165,AHPC,58,59,10,4730.0
166,AHPC,58,48,10,4720.0
167,AHPC,58,59,10,4710.0
168,AHPC,58,41,200,93800.0
169,AHPC,58,29,10,4670.0
170,AHPC,58,29,10,4670.0
171,AHPC,58,20,10,4690.0
172,AHPC,58,20,10,4690.0
173,AHPC,58,20,10,4690.0
174,AHPC,58,17,10,4680.0
175,AHPC,58,17,16,7488.0
176,AHPC,58,59,10,4700.0
177,AHPC,58,59,10,4700.0
178,AHPC,58,17,10,4700.0
179,AHPC,58,58,10,4700.0
180,AHPC,58,59,10,4710.0
181,AHPC,58,59,10,4710.0
182,AHPC,58,19,50,23550.0
183,AHPC,58,28,10,4720.0
184,AHPC,58,58,10,4740.0
185,AHPC,58,16,15,7080.0
186,AHPC,58,38,10,4740.0
187,AHPC,58,38,30,14220.0
188,AHPC,58,17,10,4740.0
189,AHPC,58,33,50,23700.0
190,AHPC,58,33,100,47400.0
191,AHPC,58,39,50,23750.0
192,AHPC,58,39,20,9500.0
193,AHPC,58,46,10,4770.0
194,AHPC,58,52,10,4760.0
195,AHPC,58,41,10,4760.0
196,AHPC,58,34,50,23900.0
197,AHPC,58,8,10,4770.0
198,AHPC,58,57,100,47600.0
199,AHPC,58,45,170,80920.0
200,AHPC,58,47,1000,477000.0
201,AHPC,58,6,30,14310.0
202,AHPC,58,52,10,4770.0
203,AHPC,58,42,500,238500.0
204,AHPC,58,45,120,57360.0
205,AHPC,58,13,500,239000.0
206,AHPC,58,22,300,143400.0
207,AHPC,58,52,30,14340.0
208,AHPC,58,25,240,114720.0
209,AHPC,58,25,10,4780.0
210,AIL,58,45,10,8650.0
211,AIL,58,29,10,8650.0
212,AIL,58,29,10,8650.0
213,AIL,58,45,13,11375.0
214,AIL,58,21,10,8700.0
215,AIL,58,41,10,8750.0
216,AIL,58,45,10,8750.0
217,AIL,58,22,10,8720.0
218,AIL,58,57,10,8720.0
219,AIL,58,56,10,8870.0
220,AIL,58,39,10,8760.0
221,AIL,58,48,100,87700.0
222,AKJCL,58,52,150,36600.0
223,AKJCL,58,47,10,2410.0
224,AKJCL,58,8,150,36000.0
225,AKJCL,58,45,75,17850.0
226,AKJCL,58,32,100,24000.0
227,AKJCL,58,45,100,24000.0
228,AKJCL,58,18,225,54450.0
229,AKJCL,58,8,20,4840.0
230,AKJCL,58,22,20,4840.0
231,AKJCL,58,59,10,2420.0
232,AKJCL,58,52,50,12900.0
233,AKJCL,58,38,20,5160.0
234,AKJCL,58,6,230,59340.0
235,AKJCL,58,6,100,26000.0
236,AKJCL,58,1,100,26100.0
237,AKJCL,58,45,40,10440.0
238,AKPL,58,26,20,8300.0
239,AKPL,58,50,100,42000.0
240,AKPL,58,22,100,41500.0
241,AKPL,58,45,110,45650.0
242,AKPL,58,45,70,29050.0
243,AKPL,58,44,130,54080.0
244,AKPL,58,58,10,4180.0
245,AKPL,58,58,150,62550.0
246,AKPL,58,50,70,29400.0
247,AKPL,58,59,30,12600.0
248,AKPL,58,59,65,27300.0
249,AKPL,58,54,45,18900.0
250,AKPL,58,54,20,8520.0
251,AKPL,58,33,100,43000.0
252,AKPL,58,16,100,44600.0
253,AKPL,58,25,50,22200.0
254,AKPL,58,25,1040,461760.0
255,AKPL,58,29,265,117925.0
256,AKPL,58,28,3695,1644275.0
257,AKPL,58,17,50,21900.0
258,AKPL,58,28,25,11125.0
259,AKPL,58,32,150,66150.0
260,AKPL,58,32,250,109500.0
261,AKPL,58,48,200,88800.0
262,AKPL,58,1,110,48840.0
263,AKPL,58,59,190,84360.0
264,AKPL,58,19,55,24420.0
265,AKPL,58,38,10,4400.0
266,AKPL,58,38,80,35280.0
267,AKPL,58,19,20,8880.0
268,AKPL,58,32,35,15435.0
269,AKPL,58,21,10,4410.0
270,AKPL,58,19,55,24255.0
271,AKPL,58,19,10,4400.0
272,AKPL,58,37,30,13080.0
273,AKPL,58,50,60,26100.0
274,AKPL,58,50,100,43300.0
275,AKPL,58,35,200,85200.0
276,AKPL,58,46,4800,2044800.0
277,AKPL,58,44,305,130845.0
278,AKPL,58,21,310,132370.0
279,AKPL,58,58,300,130800.0
280,AKPL,58,48,100,44000.0
281,AKPL,58,56,100,44000.0
282,AKPL,58,58,50,22050.0
283,AKPL,58,13,10,4410.0
284,AKPL,58,44,50,22450.0
285,AKPL,58,44,56,25144.0
286,AKPL,58,44,500,225000.0
287,AKPL,58,46,60,27000.0
288,AKPL,58,22,13,5850.0
289,AKPL,58,29,87,39150.0
290,AKPL,58,54,50,22700.0
291,AKPL,58,54,100,45400.0
292,AKPL,58,21,18,8190.0
293,AKPL,58,36,100,45500.0
294,AKPL,58,38,300,136500.0
295,AKPL,58,45,100,45500.0
296,AKPL,58,57,10,4550.0
297,AKPL,58,34,100,45500.0
298,AKPL,58,21,300,136500.0
299,AKPL,58,45,10,4550.0
300,AKPL,58,41,62,28210.0
301,AKPL,58,13,28,12740.0
302,AKPL,58,35,100,45500.0
303,AKPL,58,1,55,25080.0
304,AKPL,58,46,817,372552.0
305,AKPL,58,45,100,45800.0
306,AKPL,58,44,100,46000.0
307,AKPL,58,50,50,22900.0
308,AKPL,58,48,20,9060.0
309,AKPL,58,48,10,4530.0
310,AKPL,58,45,60,27060.0
311,AKPL,58,58,65,29315.0
312,AKPL,58,32,15,6750.0
313,AKPL,58,45,50,22500.0
314,AKPL,58,32,40,18280.0
315,AKPL,58,56,120,54720.0
316,AKPL,58,14,50,22900.0
317,AKPL,58,14,150,68700.0
318,AKPL,58,10,100,45800.0
319,AKPL,58,44,400,183200.0
320,AKPL,58,57,100,45800.0
321,AKPL,58,44,297,136026.0
322,AKPL,58,42,153,70074.0
323,AKPL,58,1,1910,876690.0
324,AKPL,58,55,100,45900.0
325,AKPL,58,47,4000,1836000.0
326,AKPL,58,58,500,229500.0
327,AKPL,58,20,10,4600.0
328,AKPL,58,53,990,455400.0
329,AKPL,58,44,500,229500.0
330,AKPL,58,17,779,358340.0
331,AKPL,58,6,100,46000.0
332,AKPL,58,45,30,13800.0
333,AKPL,58,26,200,92000.0
334,AKPL,58,41,1000,460000.0
335,AKPL,58,53,500,230000.0
336,AKPL,58,51,15,6900.0
337,AKPL,58,5,100,46000.0
338,AKPL,58,50,1000,460000.0
339,AKPL,58,41,50,23000.0
340,AKPL,58,45,30,13800.0
341,AKPL,58,35,100,46000.0
342,AKPL,58,45,670,308200.0
343,AKPL,58,6,100,46000.0
344,AKPL,58,35,10,4600.0
345,AKPL,58,44,105,48300.0
346,AKPL,58,43,300,138000.0
347,AKPL,58,48,513,235980.0
348,AKPL,58,44,150,69300.0
349,AKPL,58,45,23,10603.0
350,AKPL,58,45,80,36960.0
351,AKPL,58,35,20,9240.0
352,AKPL,58,57,50,23100.0
353,AKPL,58,45,100,46200.0
354,AKPL,58,54,10,4620.0
355,AKPL,58,58,200,92200.0
356,AKPL,58,38,500,230500.0
357,AKPL,58,38,510,234600.0
358,AKPL,58,13,13,5980.0
359,AKPL,58,28,125,57625.0
360,AKPL,58,45,50,23000.0
361,AKPL,58,36,500,230000.0
362,AKPL,58,35,21,9660.0
363,AKPL,58,35,207,95220.0
364,AKPL,58,47,21,9660.0
365,AKPL,58,28,76,34960.0
366,AKPL,58,43,1555,713745.0
367,AKPL,58,7,600,275400.0
368,AKPL,58,49,835,383265.0
369,AKPL,58,28,50,22900.0
370,AKPL,58,50,130,59540.0
371,AKPL,58,50,23,10534.0
372,AKPL,58,42,176,80784.0
373,AKPL,58,34,24,11016.0
374,AKPL,58,59,100,46000.0
375,AKPL,58,59,10,4600.0
376,AKPL,58,45,1,461.0
377,AKPL,58,54,50,22950.0
378,AKPL,58,39,60,27540.0
379,AKPL,58,58,28,12936.0
380,AKPL,58,54,138,63894.0
381,AKPL,58,11,800,370400.0
382,AKPL,58,35,100,46300.0
383,AKPL,58,45,962,445406.0
384,AKPL,58,45,38,17594.0
385,AKPL,58,45,10,4630.0
386,AKPL,58,44,100,46300.0
387,AKPL,58,44,352,162976.0
388,ALBSL,58,25,12,21720.0
389,ALBSL,58,17,25,45250.0
390,ALBSL,58,48,163,295030.0
391,ALBSL,58,32,10,18010.0
392,ALBSL,58,39,10,18000.0
393,ALBSL,58,28,10,18160.0
394,ALBSL,58,33,100,181700.0
395,ALBSL,58,58,15,27255.0
396,ALBSL,58,47,40,72720.0
397,ALBSL,58,47,18,32724.0
398,ALBSL,58,34,30,54600.0
399,ALBSL,58,39,20,36400.0
400,ALBSL,58,58,5,9115.0
401,ALICL,58,45,50,70200.0
402,ALICL,58,14,100,140300.0
403,ALICL,58,14,100,140300.0
